color;director_name;duration;gross;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;genero_1;genero_2;genero_3;genero_4;genero_5;gross_budget_ratio;type_film
Color;Martin Scorsese;240.0;116866727.0;the wolf of wall street;2013.0;English;USA;100000000.0;8.2;Leonardo DiCaprio,Matthew McConaughey,Jon Favreau;138000;Biography;Comedy;Crime;Drama;;1.16866727;Normal
Color;Shane Black;195.0;408992272.0;iron man 3;2013.0;English;USA;200000000.0;7.2;Robert Downey Jr.,Jon Favreau,Don Cheadle;95000;Action;Adventure;Sci-Fi;;;2.04496136;Normal
Color;Quentin Tarantino;187.0;54116191.0;the hateful eight;2015.0;English;USA;44000000.0;7.9;Craig Stark,Jennifer Jason Leigh,Zoë Bell;114000;Crime;Drama;Mystery;Thriller;Western;1.229913431818182;Normal
Color;Kenneth Lonergan;186.0;46495.0;margaret;2011.0;English;USA;14000000.0;6.5;Matt Damon,Kieran Culkin,John Gallagher Jr.;0;Drama;;;;;0.0033210714285714284;Normal
Color;Peter Jackson;186.0;258355354.0;the hobbit: the desolation of smaug;2013.0;English;USA;225000000.0;7.9;Aidan Turner,Adam Brown,James Nesbitt;83000;Adventure;Fantasy;;;;1.1482460177777778;Normal
Color;No information available;183.0;330249062.0;batman v superman: dawn of justice;;English;USA;250000000.0;6.9;Henry Cavill,Lauren Cohan,Alan D. Purwin;197000;Action;Adventure;Sci-Fi;;;1.320996248;Normal
Color;Peter Jackson;143.5;303001229.0;the hobbit: an unexpected journey;2012.0;English;USA;180000000.0;7.9;Aidan Turner,Adam Brown,James Nesbitt;166000;Adventure;Fantasy;;;;1.6833401611111112;Normal
Color;Edward Hall;180.0;146375408.7764706;restless;2012.0;English;UK;102182415.0;7.2;Rufus Sewell,Hayley Atwell,Charlotte Rampling;434;Drama;Romance;;;;1.4324911852638305;Normal
Color;Joss Whedon;173.0;623279547.0;the avengers;2012.0;English;USA;220000000.0;8.1;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;Action;Adventure;Sci-Fi;;;2.83308885;Normal
Color;Tom Tykwer;172.0;27098580.0;cloud atlas;2012.0;English;Germany;102000000.0;;Tom Hanks,Jim Sturgess,Jim Broadbent;124000;Drama;Sci-Fi;;;;0.26567235294117647;Normal
Color;No information available;158.0;102515793.0;the girl with the dragon tattoo;2011.0;English;USA;90000000.0;7.8;Robin Wright,Goran Visnjic,Joely Richardson;54000;Crime;Drama;Mystery;Thriller;;1.1390643666666667;Normal
Color;Christopher Spencer;170.0;59696176.0;son of god;2014.0;English;USA;22000000.0;5.6;Roma Downey,Amber Rose Revah,Darwin Shaw;15000;;;;;;2.7134625454545453;Normal
Color;Christopher Nolan;169.0;187991439.0;interstellar;2014.0;English;USA;165000000.0;8.6;Matthew McConaughey,Anne Hathaway,Mackenzie Foy;349000;Adventure;Drama;Sci-Fi;;;1.1393420545454545;Normal
Color;F. Gary Gray;167.0;146375408.7764706;straight outta compton;2015.0;English;USA;28000000.0;7.9;Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor;76000;Biography;Crime;Drama;History;Music;5.2276931705882355;Normal
Color;Richard Linklater;165.0;25359200.0;boyhood;2014.0;English;USA;4000000.0;8.0;Ellar Coltrane,Lorelei Linklater,Libby Villari;92000;Drama;;;;;6.3398;Normal
Color;Quentin Tarantino;143.5;162804648.0;django unchained;2012.0;English;USA;100000000.0;8.5;Leonardo DiCaprio,Christoph Waltz,Ato Essandoh;199000;Drama;Western;;;;1.62804648;Normal
Color;Michael Bay;165.0;245428137.0;transformers: age of extinction;2014.0;English;USA;210000000.0;5.7;Bingbing Li,Sophia Myles,Kelsey Grammer;56000;Action;Adventure;Sci-Fi;;;1.1687054142857143;High gross, low rating
Color;Christopher Nolan;164.0;448130642.0;the dark knight rises;2012.0;English;USA;250000000.0;8.5;Tom Hardy,Christian Bale,Joseph Gordon-Levitt;164000;Action;Thriller;;;;1.792522568;Normal
Color;Peter Jackson;164.0;255108370.0;the hobbit: the battle of the five armies;2014.0;English;New Zealand;250000000.0;7.5;Aidan Turner,Adam Brown,James Nesbitt;65000;Adventure;Fantasy;;;;1.02043348;Normal
Color;Tom Hooper;158.0;148775460.0;les misérables;;English;USA;61000000.0;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;Drama;Musical;Romance;;;2.4389419672131147;Normal
Color;Kathryn Bigelow;157.0;95720716.0;zero dark thirty;2012.0;English;USA;40000000.0;7.4;Jennifer Ehle,Harold Perrineau,Parker Sawyers;39000;Drama;History;Thriller;;;2.3930179;Normal
Color;Ridley Scott;156.0;105219735.0;robin hood;2010.0;English;USA;200000000.0;6.7;Mark Addy,William Hurt,Scott Grimes;17000;Action;Adventure;Drama;History;;0.526098675;Normal
Color;No information available;156.0;183635922.0;the revenant;2015.0;English;USA;135000000.0;8.1;Leonardo DiCaprio,Tom Hardy,Lukas Haas;190000;Adventure;Drama;Thriller;Western;;1.360266088888889;Normal
Color;Michael Bay;154.0;352358779.0;transformers: dark of the moon;2011.0;English;USA;195000000.0;6.3;Glenn Morshower,Lester Speight,Kevin Dunn;46000;Action;Adventure;Sci-Fi;;;1.8069680974358975;High gross, low rating
Color;Denis Villeneuve;153.0;60962878.0;prisoners;2013.0;English;USA;46000000.0;8.1;Hugh Jackman,Jake Gyllenhaal,Dylan Minnette;86000;Crime;Drama;Mystery;Thriller;;1.325279956521739;Low gross, high rating
Color;Gnana Rajasekaran;153.0;146375408.7764706;ramanujan;2014.0;English;India;102182415.0;7.0;Mani Bharathi,Michael Lieber,Kevin McGowan;58;Biography;Drama;History;;;1.4324911852638305;Normal
Color;Marc Webb;153.0;262030663.0;the amazing spider-man;2012.0;English;USA;230000000.0;7.0;Emma Stone,Andrew Garfield,Chris Zylka;56000;Action;Adventure;Fantasy;;;1.139263752173913;Normal
Color;No information available;151.0;228430993.0;the martian;2015.0;English;USA;108000000.0;8.1;Matt Damon,Donald Glover,Benedict Wong;153000;Adventure;Drama;Sci-Fi;;;2.115101787037037;Normal
Color;Ridley Scott;150.0;65007045.0;exodus: gods and kings;2014.0;English;UK;140000000.0;6.1;Christian Bale,María Valverde,Ben Mendelsohn;51000;Action;Adventure;Drama;;;0.4643360357142857;Normal
Color;No information available;150.0;182204440.0;lincoln;2012.0;English;USA;65000000.0;7.4;Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill;71000;Biography;Drama;History;War;;2.8031452307692306;Normal
Color;Mike Leigh;150.0;3958500.0;mr. turner;2014.0;English;UK;102182415.0;6.8;Lesley Manville,Ruth Sheen,Karl Johnson;0;Biography;Drama;History;;;0.038739542415395053;Normal
Color;Gore Verbinski;143.5;89289910.0;the lone ranger;2013.0;English;USA;215000000.0;6.5;Johnny Depp,Ruth Wilson,Tom Wilkinson;48000;Action;Adventure;Western;;;0.4153019069767442;Normal
Color;David Fincher;149.0;167735396.0;gone girl;2014.0;English;USA;61000000.0;8.1;Patrick Fugit,Sela Ward,Emily Ratajkowski;146000;Crime;Drama;Mystery;Thriller;;2.7497605901639344;Normal
Color;Bryan Singer;149.0;233914986.0;x-men: days of future past;2014.0;English;USA;200000000.0;8.0;Jennifer Lawrence,Peter Dinklage,Hugh Jackman;82000;Action;Adventure;Fantasy;Sci-Fi;Thriller;1.16957493;Normal
Color;Jay Oliva;148.0;146375408.7764706;batman: the dark knight returns, part 2;2013.0;English;USA;3500000.0;8.4;Michael Emerson,Mark Valley,Grey Griffin;5000;Action;Animation;Crime;Sci-Fi;Thriller;41.821545364705884;Normal
Color;Christopher Nolan;148.0;292568851.0;inception;2010.0;English;USA;160000000.0;8.8;Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt;175000;Action;Adventure;Sci-Fi;Thriller;;1.82855531875;Normal
Color;Paul Thomas Anderson;148.0;8093318.0;inherent vice;2014.0;English;USA;20000000.0;6.7;Martin Dew,Katherine Waterston,Serena Scott Thomas;18000;Comedy;Crime;Drama;Mystery;Romance;0.4046659;Normal
Color;Sam Mendes;148.0;200074175.0;spectre;2015.0;English;UK;245000000.0;6.8;Christoph Waltz,Rory Kinnear,Stephanie Sigman;85000;Action;Adventure;Thriller;;;0.8166292857142857;Normal
Color;No information available;147.0;407197282.0;captain america: civil war;2016.0;English;USA;250000000.0;8.2;Robert Downey Jr.,Scarlett Johansson,Chris Evans;72000;Action;Adventure;Sci-Fi;;;1.628789128;Normal
Color;Michael Patrick King;146.0;95328937.0;sex and the city 2;2010.0;English;USA;100000000.0;4.3;Chris Noth,Liza Minnelli,Kristin Davis;0;Comedy;Drama;Romance;;;0.95328937;Normal
Color;Tate Taylor;146.0;169705587.0;the help;2011.0;English;USA;25000000.0;8.1;Emma Stone,Bryce Dallas Howard,Mike Vogel;75000;Drama;;;;;6.78822348;Normal
Color;Francis Lawrence;146.0;424645577.0;the hunger games: catching fire;2013.0;English;USA;130000000.0;7.6;Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty;82000;Adventure;Sci-Fi;Thriller;;;3.2665044384615385;Normal
Black and white;Steven Spielberg;146.0;79883359.0;war horse;2011.0;English;USA;66000000.0;7.2;Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan;28000;Drama;War;;;;1.2103539242424242;Normal
Color;Michael Bay;144.0;52822418.0;13 hours;2016.0;English;USA;50000000.0;7.4;Toby Stephens,James Badge Dale,David Costabile;44000;Action;Drama;Thriller;War;;1.05644836;Normal
Color;Guillaume Canet;144.0;41229.0;blood ties;2013.0;English;France;25500000.0;6.5;Mila Kunis,Lili Taylor,Billy Crudup;0;Crime;Drama;Thriller;;;0.0016168235294117647;Normal
Color;Paul Thomas Anderson;144.0;16377274.0;the master;2012.0;English;USA;32000000.0;7.1;Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild;27000;Drama;;;;;0.5117898125;Normal
Color;Bryan Singer;144.0;154985087.0;x-men: apocalypse;2016.0;English;USA;178000000.0;7.3;Jennifer Lawrence,Michael Fassbender,Tye Sheridan;54000;Action;Adventure;Sci-Fi;;;0.8707027359550562;Normal
Color;Adam McKay;143.0;2175312.0;anchorman 2: the legend continues;2013.0;English;USA;50000000.0;6.3;Harrison Ford,Will Ferrell,Steve Carell;41000;Comedy;;;;;0.04350624;Normal
Color;Zack Snyder;143.0;146375408.7764706;man of steel;2013.0;English;USA;225000000.0;7.2;Henry Cavill,Christopher Meloni,Harry Lennix;118000;Action;Adventure;Fantasy;Sci-Fi;;0.6505573723398693;Normal
Color;Sam Mendes;143.0;304360277.0;skyfall;2012.0;English;UK;200000000.0;7.8;Albert Finney,Helen McCrory,Rory Kinnear;80000;Action;Adventure;Thriller;;;1.521801385;Normal
Color;Baz Luhrmann;143.0;144812796.0;the great gatsby;2013.0;English;Australia;105000000.0;7.3;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000;Drama;Romance;;;;1.3791694857142858;Normal
Color;No information available;143.0;146375408.7764706;the ridges;2011.0;English;USA;17350.0;3.0;Robbie Barnes,Alana Kaniewski,Brandon Landers;33;Drama;Horror;Thriller;;;8436.622984234617;Normal
Color;Steven Spielberg;142.0;72306065.0;bridge of spies;2015.0;English;USA;40000000.0;7.6;Tom Hanks,Mark Rylance,Amy Ryan;55000;Drama;History;Thriller;;;1.807651625;Normal
Color;Marc Webb;142.0;202853933.0;the amazing spider-man 2;2014.0;English;USA;200000000.0;6.7;Emma Stone,Andrew Garfield,B.J. Novak;41000;Action;Adventure;Fantasy;Sci-Fi;;1.014269665;Normal
Color;No information available;142.0;407999255.0;the hunger games;2012.0;English;USA;78000000.0;7.3;Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds;140000;Adventure;Drama;Sci-Fi;Thriller;;5.230759679487179;Normal
Color;Joss Whedon;141.0;458991599.0;avengers: age of ultron;;English;USA;250000000.0;7.5;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;118000;Action;Adventure;Sci-Fi;;;1.835966396;Normal
Color;Timur Bekmambetov;141.0;146375408.7764706;ben-hur;2016.0;English;USA;100000000.0;6.1;Morgan Freeman,Ayelet Zurer,Moises Arias;0;Adventure;Drama;History;;;1.463754087764706;Normal
Color;Justin Chadwick;141.0;8324748.0;mandela: long walk to freedom;2013.0;English;UK;35000000.0;7.1;Terry Pheto,Fana Mokoena,Tony Kgoroge;13000;Biography;Drama;History;;;0.23784994285714287;Normal
Color;Oliver Stone;141.0;47307550.0;savages;2012.0;English;USA;45000000.0;6.5;Demián Bichir,Shea Whigham,Gary Stretch;28000;Crime;Drama;Thriller;;;1.0512788888888889;Normal
Color;David Dobkin;141.0;47105085.0;the judge;2014.0;English;USA;50000000.0;7.4;Robert Downey Jr.,Robert Duvall,Leighton Meester;47000;Crime;Drama;;;;0.9421017;Normal
Color;Ryan Murphy;140.0;80574010.0;eat pray love;2010.0;English;USA;60000000.0;5.7;James Franco,Julia Roberts,Billy Crudup;26000;Drama;Romance;;;;1.3429001666666667;Normal
Color;James Wan;140.0;350034110.0;furious 7;2015.0;English;USA;190000000.0;7.2;Jason Statham,Paul Walker,Vin Diesel;94000;Action;Crime;Thriller;;;1.8422847894736842;Normal
Color;Derek Cianfrance;140.0;21383298.0;the place beyond the pines;2012.0;English;USA;15000000.0;7.3;Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza;47000;Crime;Drama;Thriller;;;1.4255532;Normal
Color;Gavin O'Connor;140.0;13651662.0;warrior;2011.0;English;USA;25000000.0;8.2;Tom Hardy,Frank Grillo,Kevin Dunn;77000;Drama;Sport;;;;0.54606648;Low gross, high rating
Color;No information available;139.0;150832203.0;divergent;;English;USA;85000000.0;6.7;Kate Winslet,Theo James,Mekhi Phifer;49000;Adventure;Mystery;Sci-Fi;;;1.774496505882353;Normal
Color;Gary Ross;139.0;20389967.0;free state of jones;2016.0;English;USA;50000000.0;6.7;Matthew McConaughey,Donald Watkins,Jessica Collins;10000;Action;Biography;Drama;History;War;0.40779934;Normal
Color;Tate Taylor;139.0;30513940.0;get on up;2014.0;English;USA;30000000.0;6.9;Tika Sumpter,Josh Hopkins,Aunjanue Ellis;11000;Biography;Drama;Music;;;1.0171313333333334;Normal
Color;Terrence Malick;139.0;13303319.0;the tree of life;2011.0;English;USA;32000000.0;6.7;Brad Pitt,Tye Sheridan,Fiona Shaw;39000;Drama;Fantasy;;;;0.41572871875;Normal
Color;No information available;138.0;150117807.0;american hustle;2013.0;English;USA;40000000.0;7.3;Jennifer Lawrence,Christian Bale,Bradley Cooper;63000;Crime;Drama;;;;3.752945175;Normal
Color;Robert Zemeckis;138.0;93749203.0;flight;2012.0;English;USA;31000000.0;7.3;Denzel Washington,Bruce Greenwood,Nadine Velazquez;64000;Drama;Thriller;;;;3.0241678387096775;Normal
Color;Darren Aronofsky;138.0;101160529.0;noah;2014.0;English;USA;125000000.0;5.8;Anthony Hopkins,Emma Watson,Logan Lerman;71000;Action;Adventure;Drama;;;0.809284232;Normal
Color;Martin Scorsese;138.0;127968405.0;shutter island;2010.0;English;USA;80000000.0;8.1;Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto;53000;Mystery;Thriller;;;;1.5996050625;Normal
Color;Ridley Scott;138.0;16969390.0;the counselor;2013.0;English;USA;25000000.0;5.3;Michael Fassbender,Brad Pitt,Goran Visnjic;24000;Crime;Drama;Thriller;;;0.6787756;Normal
Color;James Mangold;138.0;132550960.0;the wolverine;2013.0;English;USA;120000000.0;6.7;Hugh Jackman,Tao Okamoto,Rila Fukushima;68000;Action;Adventure;Sci-Fi;Thriller;;1.1045913333333333;Normal
Color;Daniel Espinosa;137.0;1206135.0;child 44;;English;Czech Republic;50000000.0;6.4;Tom Hardy,Fares Fares,Michael Nardone;18000;Crime;Drama;Thriller;;;0.0241227;Normal
Color;No information available;137.0;37304950.0;j. edgar;2011.0;English;USA;35000000.0;6.6;Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever;16000;Biography;Crime;Drama;;;1.0658557142857144;Normal
Color;Walter Salles;137.0;717753.0;on the road;2012.0;English;France;25000000.0;6.1;Kristen Stewart,Viggo Mortensen,Kirsten Dunst;27000;Adventure;Drama;;;;0.02871012;Normal
Color;No information available;137.0;281666058.0;the hunger games: mockingjay - part 2;2015.0;English;USA;160000000.0;6.6;Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson;38000;Adventure;Sci-Fi;;;;1.7604128625;Normal
Color;Angelina Jolie Pitt;137.0;115603980.0;unbroken;2014.0;English;USA;65000000.0;;Finn Wittrock,Jack O'Connell,Alex Russell;35000;Biography;Drama;Sport;War;;1.7785227692307692;Normal
Color;Seth MacFarlane;136.0;42615685.0;a million ways to die in the west;2014.0;English;USA;40000000.0;6.1;Liam Neeson,Charlize Theron,Seth MacFarlane;24000;Comedy;Western;;;;1.065392125;Normal
Color;Anthony Russo;136.0;259746958.0;captain america: the winter soldier;2014.0;English;USA;170000000.0;7.8;Scarlett Johansson,Chris Evans,Hayley Atwell;55000;Action;Adventure;Sci-Fi;;;1.5279232823529412;Normal
Color;Rob Marshall;136.0;241063875.0;pirates of the caribbean: on stranger tides;2011.0;English;USA;250000000.0;6.7;Johnny Depp,Sam Claflin,Stephen Graham;58000;Action;Adventure;Fantasy;;;0.9642555;Normal
Color;Adam Shankman;136.0;38509342.0;rock of ages;2012.0;English;USA;75000000.0;5.9;James Martin Kelly,Shane Hartline,Celina Beach;33000;Comedy;Drama;Musical;Romance;;0.5134578933333334;Normal
Color;No information available;136.0;52474616.0;wall street: money never sleeps;2010.0;English;USA;70000000.0;6.3;Frank Langella,Austin Pendleton,John Buffalo Mailer;13000;Drama;;;;;0.7496373714285715;Normal
Color;Sadyk Sher-Niyaz;135.0;146375408.7764706;queen of the mountains;2014.0;English;Kyrgyzstan;1400000.0;8.7;Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev;0;Action;Biography;Drama;History;;104.55386341176471;Normal
Color;Tony Gilroy;135.0;113165635.0;the bourne legacy;2012.0;English;USA;125000000.0;6.7;Jeremy Renner,Scott Glenn,Stacy Keach;31000;Action;Adventure;Thriller;;;0.90532508;Normal
Color;Steve McQueen;134.0;56667870.0;12 years a slave;2013.0;English;USA;20000000.0;8.1;Quvenzhané Wallis,Scoot McNairy,Taran Killam;83000;Biography;Drama;History;;;2.8333935;Low gross, high rating
Color;Richard J. Lewis;134.0;7501404.0;barney's version;2010.0;English;Canada;102182415.0;7.3;Mark Addy,Atom Egoyan,Paul Gross;0;Comedy;Drama;;;;0.07341188794569006;Normal
Color;Paul Greengrass;134.0;107100855.0;captain phillips;2013.0;English;USA;55000000.0;7.9;Tom Hanks,Chris Mulkey,Michael Chernus;65000;Biography;Drama;Thriller;;;1.9472882727272727;Normal
Color;David Ayer;134.0;85707116.0;fury;2014.0;English;USA;68000000.0;7.6;Brad Pitt,Logan Lerman,Jim Parrack;82000;Action;Drama;War;;;1.2603987647058823;Normal
Color;Clint Eastwood;143.5;47034272.0;jersey boys;2014.0;English;USA;40000000.0;6.9;Johnny Cannizzaro,Steve Schirripa,Scott Vance;16000;Biography;Drama;Music;Musical;;1.1758568;Normal
